date,high,low,cache,share_count,amount_in_shares,overall_result,comission,tax,total_tax
2021-10-13,7333.5,7070.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-14,7319.0,7172.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-15,7318.0,7195.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-18,7364.0,7271.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-19,7373.0,7240.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-20,7460.0,7320.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-21,7429.0,7202.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-22,7314.5,7172.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-25,7483.0,7215.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-26,7525.0,7381.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-27,7486.5,7322.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-28,7320.0,7190.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-29,7315.0,7118.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-01,7327.5,7242.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-02,7394.0,7193.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-03,7202.5,7125.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-05,7205.0,7082.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-08,7275.0,7202.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-09,7255.0,7117.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-10,7266.0,7120.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-11,7171.0,6969.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-12,7067.0,6835.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-15,6979.5,6815.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-16,7006.0,6905.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-17,6950.0,6840.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-18,6887.0,6783.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-19,6902.5,6660.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-22,6756.5,6532.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-23,6837.0,6490.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-24,6891.0,6686.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-25,6890.5,6655.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-26,6516.5,6335.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-29,6713.0,6480.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-11-30,6688.5,6418.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-01,6740.5,6543.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-02,6768.0,6558.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-03,6770.0,6571.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-06,6740.0,6500.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-07,6766.5,6645.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-08,6784.5,6510.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-09,6636.0,6501.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-10,6673.0,6568.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-13,6700.0,6352.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-14,6628.0,5912.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-15,6625.0,6447.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-16,6779.0,6595.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-17,6765.0,6603.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-12-20,6368.0,6237.0,563755.27,0,0.0,577145.27,674.73,0,24570.0
2021-12-21,6428.0,6285.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2021-12-22,6393.5,6319.5,563755.27,0,0.0,563755.27,674.73,0,24570.0
2021-12-23,6380.0,6285.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2021-12-24,6328.0,6220.5,563755.27,0,0.0,563755.27,674.73,0,24570.0
2021-12-27,6398.5,6315.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2021-12-28,6559.5,6377.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2021-12-29,6525.0,6421.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2021-12-30,6597.0,6480.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-03,6705.5,6586.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-04,6741.0,6627.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-05,6755.0,6501.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-06,6706.0,6459.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-10,6880.0,6650.5,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-11,6850.0,6732.5,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-12,6969.0,6770.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-13,6951.5,6610.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-14,6791.0,6469.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-17,6734.0,6445.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-18,6587.0,6132.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-19,6670.0,6020.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-20,6683.0,6324.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-21,6514.0,6310.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-24,6479.0,6078.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-25,6562.5,6177.5,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-26,6690.0,6405.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-27,6900.0,6432.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-28,6945.0,6755.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-01-31,6910.0,6780.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-02-01,7013.5,6826.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-02-02,7050.0,6936.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-02-03,7030.0,6794.5,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-02-04,7110.0,6892.0,563755.27,0,0.0,563755.27,674.73,0,24570.0
2022-02-07,7060.0,6825.5,563755.27,0,0.0,563755.27,674.73,0,24570.0
